paperId,cites D1,cites D2,cites D3,title,abstract,year,venue,arxivId,doi,pdfUrl
001973a77bf8fa82314de667af5b041d856b0069,1,0,0,Trajectory Factory: Tracklet Cleaving and Re-Connection by Deep Siamese Bi-GRU for Multiple Object Tracking,"Multi-Object Tracking (MOT) is a challenging task in the complex scene such as surveillance and autonomous driving. In this paper, we propose a novel tracklet processing method to cleave and re-connect tracklets on crowd or longterm occlusion by Siamese Bi-Gated Recurrent Unit (GRU). The tracklet generation utilizes object features extracted by CNN and RNN to create the high-confidence tracklet candidates in sparse scenario. Due to mis-tracking in the generation process, the tracklets from different objects are split into several sub-tracklets by a bidirectional GRU. After that, a Siamese GRU based tracklet re-connection method is applied to link the sub-tracklets which belong to the same object to form a whole trajectory. In addition, we extract the track-let images from existing MOT datasets and propose a novel dataset to train our networks. The proposed dataset contains more than 95160 pedestrian images. It has 793 different persons in it. On average, there are 120 images for each person with positions and sizes. Experimental results demonstrate the advantages of our model over the state-of-the-art methods on MOTI6.",2018,2018 IEEE International Conference on Multimedia and Expo (ICME),1804.04555,10.1109/ICME.2018.8486454,https://arxiv.org/pdf/1804.04555.pdf
004acfec16c36649408c561faa102dd9de76f085,1,1,0,Multi-level Factorisation Net for Person Re-identification,"Key to effective person re-identification (Re-ID) is modelling discriminative and view-invariant factors of person appearance at both high and low semantic levels. Recently developed deep Re-ID models either learn a holistic single semantic level feature representation and/or require laborious human annotation of these factors as attributes. We propose Multi-Level Factorisation Net (MLFN), a novel network architecture that factorises the visual appearance of a person into latent discriminative factors at multiple semantic levels without manual annotation. MLFN is composed of multiple stacked blocks. Each block contains multiple factor modules to model latent factors at a specific level, and factor selection modules that dynamically select the factor modules to interpret the content of each input image. The outputs of the factor selection modules also provide a compact latent factor descriptor that is complementary to the conventional deeply learned features. MLFN achieves state-of-the-art results on three Re-ID datasets, as well as compelling results on the general object categorisation CIFAR-100 dataset.",2018,2018 IEEE/CVF Conference on Computer Vision and Pattern Recognition,1803.09132,10.1109/CVPR.2018.00225,https://arxiv.org/pdf/1803.09132.pdf
009019f67019320bb1da759f60ee24daa7f96f51,1,0,0,Simultaneous Identification and Tracking of Multiple People Using Video and IMUs,"Most modern approaches for multiple people tracking rely on human appearance to exploit similarity between person detections. In this work we propose an alternative tracking method that does not depend on visual appearance and is still capable to deal with very dynamic motions and long-term occlusions. We make this feasible by: (i) incorporating additional information from body-worn inertial sensors, (ii) designing a neural network to relate person detections to orientation measurements and (iii) formulating a graph labeling problem to obtain a tracking solution that is globally consistent with the video and inertial recordings. We evaluate our approach on several challenging tracking sequences and achieve a very high IDF1 score of 91.2%. We outperform appearance-based baselines in scenarios where appearance is less informative and are on-par in situations with discriminative people appearance.",2019,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),,10.1109/CVPRW.2019.00106,http://openaccess.thecvf.com/content_CVPRW_2019/papers/BMTT/Henschel_Simultaneous_Identification_and_Tracking_of_Multiple_People_Using_Video_and_CVPRW_2019_paper.pdf
009e625561119aa9affb936ad74e611fd1fa36d4,1,0,0,A Simple Baseline for Multi-Object Tracking,"There has been remarkable progress on object detection and re-identification in recent years which are the core components for multi-object tracking. However, little attention has been focused on accomplishing the two tasks in a single network to improve the inference speed. The initial attempts along this path ended up with degraded results mainly because the re-identification branch is not appropriately learned. In this work, we study the essential reasons behind the failure, and accordingly present a simple baseline to addresses the problem. It remarkably outperforms the state-of-the-arts on the public datasets at $30$ fps. We hope this baseline could inspire and help evaluate new ideas in this field. The code and the pre-trained models are available at \url{this https URL}.",2020,ArXiv,,,https://www.chunyuwang.org/img/oneshottracker.pdf
00a3ff242919164646a9b941c370a4add2db0a2f,0,1,0,Joint Attention Mechanism for Person Re-Identification,"Although person re-identification (ReID) has drawn increasing research attention due to its potential to address the problem of analysis and processing of massive monitoring data, it is very challenging to learn discriminative information when the people in the images are occluded, in large pose variations or from different perspectives. To address this problem, we propose a novel joint attention person ReID (JA-ReID) architecture. The idea is to learn two complementary feature representations by combining a soft pixel-level attention mechanism and a hard region-level attention mechanism. The soft pixel-level attention mechanism learns a discriminative embedding for the fine-grained information by exploring the salient parts in the feature maps. The hard region-level attention mechanism conducts uniform partitions on the convolutional feature maps for learning local features. We have achieved competitive results in three popular benchmarks, including Market1501, DukeMTMC-reID, and CUHK03. The experimental results verify the adaptability of the joint attention mechanism to non-rigid deformation of the human body, which can effectively improve the accuracy of ReID.",2019,IEEE Access,,10.1109/ACCESS.2019.2927170,
00b504c1ff34d86356d893ba1f0159b1710c7bc9,0,1,0,Distilled Person Re-Identification: Towards a More Scalable System,"Person re-identification (Re-ID), for matching pedestrians across non-overlapping camera views, has made great progress in supervised learning with abundant labelled data. However, the scalability problem is the bottleneck for applications in large-scale systems. We consider the scalability problem of Re-ID from three aspects: (1) low labelling cost by reducing label amount, (2) low extension cost by reusing existing knowledge and (3) low testing computation cost by using lightweight models. The requirements render scalable Re-ID a challenging problem. To solve these problems in a unified system, we propose a Multi-teacher Adaptive Similarity Distillation Framework, which requires only a few labelled identities of target domain to transfer knowledge from multiple teacher models to a user-specified lightweight student model without accessing source domain data. We propose the Log-Euclidean Similarity Distillation Loss for Re-ID and further integrate the Adaptive Knowledge Aggregator to select effective teacher models to transfer target-adaptive knowledge. Extensive evaluations show that our method can extend with high scalability and the performance is comparable to the state-of-the-art unsupervised and semi-supervised Re-ID methods.",2019,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,10.1109/CVPR.2019.00128,http://openaccess.thecvf.com/content_CVPR_2019/papers/Wu_Distilled_Person_Re-Identification_Towards_a_More_Scalable_System_CVPR_2019_paper.pdf
00b9079c3320d93832a23441d3519463cf0e84e9,1,0,0,Long/Short-Term Appearance Modeling and Two-Step Association for Multi-Object Tracking,"Vision-based multi-object tracking has many potential applications in intelligent transportation systems and intelligent vehicles. Tracking by detection, as a popular approach to multi-object tracking, first obtains detection responses from video sequence and then associates them into tracks for every object. Existing tracking-by-detection methods can work well in constrained scenarios. However, in those complicated scenarios with occlusion and adverse illumination conditions, the detection stage is deteriorated and thus makes it difficult to track objects accurately. In this paper, we present a robust tracker that represents object appearance using stable temporal features and associates the detection responses through a two-step association process. We propose to use Bi-LSTM (Bidirectional Long Short-Term Memory) to model object appearance and obtain reliable temporal features. Then, we estimate the affinity between tracks and detections based on multiple cues including appearance, motion and shape, and integrate the affinity into a two-step association procedure. Our method is verified on MOT datasets and the experimental results are promising as compared to the state-of-the-art.",2019,2019 IEEE Intelligent Transportation Systems Conference (ITSC),,10.1109/ITSC.2019.8916882,
00e3957212517a252258baef833833921dd308d4,0,1,0,Adaptively Weighted Multi-task Deep Network for Person Attribute Classification,"Multi-task learning aims to boost the performance of multiple prediction tasks by appropriately sharing relevant information among them. However, it always suffers from the negative transfer problem. And due to the diverse learning difficulties and convergence rates of different tasks, jointly optimizing multiple tasks is very challenging. To solve these problems, we present a weighted multi-task deep convolutional neural network for person attribute analysis. A novel validation loss trend algorithm is, for the first time proposed to dynamically and adaptively update the weight for learning each task in the training process. Extensive experiments on CelebA, Market-1501 attribute and Duke attribute datasets clearly show that state-of-the-art performance is obtained; and this validates the effectiveness of our proposed framework.",2017,ACM Multimedia,,10.1145/3123266.3123424,http://homepage.fudan.edu.cn/fengrui/files/2020/03/Adaptively-Weighted-Multi-task-Deep-Network-for-Person-Attribute-Classification.pdf
0100b4bf12bb2a9405331cb9208da7fea285785f,1,0,0,CANU-ReID: A Conditional Adversarial Network for Unsupervised person Re-IDentification.,,2020,,1904.01308,,https://arxiv.org/pdf/1904.01308.pdf
01d309cb815a69ada1196ca3c97273ea70c06655,0,1,0,PERSON RE-IDENTIFICATION BY REFINED ATTRIBUTE PREDICTION AND WEIGHTED MULTI-PART CONSTRAINTS,"Person re-identification (re-id) aims to match person images captured in non-overlapping camera views. Convolutional Neural Network (CNN) has been verified to be powerful in pedestrian feature extraction. However, the CNN features focus more on global visual information, which are sensitive to environmental variations. In comparison, attribute features contain semantic information and prove to be more stable to cross-view appearance changes. In this paper, we present a novel network which leverages high-level semantic attributes to enhance pedestrian descriptors. By introducing hand-crafted multi-colorspaces and texture information to refine CNN features, we acquire a more invariant and reliable feature representation for attribute prediction. The attribute-based stream is further embedded into a part-based CNN branch for re-id. This part-based CNN is trained with a weighted integration of multi-part identification losses. Experiments on two public datasets demonstrate significant performance improvements of our method over state of the arts.",2018,2018 IEEE Global Conference on Signal and Information Processing (GlobalSIP),,10.1109/GlobalSIP.2018.8646466,
