paperId,uses dataset or derivative,dataset(s) / model(s) used,unable to disambiguate,cites D1,cites D2,cites D3,title,abstract,year,venue,arxivId,doi,pdfUrl
00b9079c3320d93832a23441d3519463cf0e84e9,1,[D2],,1,0,0,Long/Short-Term Appearance Modeling and Two-Step Association for Multi-Object Tracking,"Vision-based multi-object tracking has many potential applications in intelligent transportation systems and intelligent vehicles. Tracking by detection, as a popular approach to multi-object tracking, first obtains detection responses from video sequence and then associates them into tracks for every object. Existing tracking-by-detection methods can work well in constrained scenarios. However, in those complicated scenarios with occlusion and adverse illumination conditions, the detection stage is deteriorated and thus makes it difficult to track objects accurately. In this paper, we present a robust tracker that represents object appearance using stable temporal features and associates the detection responses through a two-step association process. We propose to use Bi-LSTM (Bidirectional Long Short-Term Memory) to model object appearance and obtain reliable temporal features. Then, we estimate the affinity between tracks and detections based on multiple cues including appearance, motion and shape, and integrate the affinity into a two-step association procedure. Our method is verified on MOT datasets and the experimental results are promising as compared to the state-of-the-art.",2019,2019 IEEE Intelligent Transportation Systems Conference (ITSC),,10.1109/ITSC.2019.8916882,
01f3f0293c2a13bc122088e837b513a123f37c70,0,,,1,0,0,Multi-object Tracking with Neural Gating Using Bilinear LSTM,"In recent deep online and near-online multi-object tracking approaches, a difficulty has been to incorporate long-term appearance models to efficiently score object tracks under severe occlusion and multiple missing detections. In this paper, we propose a novel recurrent network model, the Bilinear LSTM, in order to improve the learning of long-term appearance models via a recurrent network. Based on intuitions drawn from recursive least squares, Bilinear LSTM stores building blocks of a linear predictor in its memory, which is then coupled with the input in a multiplicative manner, instead of the additive coupling in conventional LSTM approaches. Such coupling resembles an online learned classifier/regressor at each time step, which we have found to improve performances in using LSTM for appearance modeling. We also propose novel data augmentation approaches to efficiently train recurrent models that score object tracks on both appearance and motion. We train an LSTM that can score object tracks based on both appearance and motion and utilize it in a multiple hypothesis tracking framework. In experiments, we show that with our novel LSTM model, we achieved state-of-the-art performance on near-online multiple object tracking on the MOT 2016 and MOT 2017 benchmarks.",2018,ECCV,,10.1007/978-3-030-01237-3_13,http://web.engr.oregonstate.edu/~lif/1925.pdf
020dc284dd062ef6fed4659df539d79eac3043c2,0,,,0,0,1,Joint graph regularized dictionary learning and sparse ranking for multi-modal multi-shot person re-identification,"Abstract The promising achievement of sparse ranking in image-based recognition gives rise to a number of development on person re-identification (Re-ID) which aims to reconstruct the probe as a linear combination of few atoms/images from an over-complete dictionary/gallery. However, most of the existing sparse ranking based Re-ID methods lack considering the geometric relationships between probe, gallery, and cross-modal images of the same person in multi-shot Re-ID. In this paper, we propose a novel joint graph regularized dictionary learning and sparse ranking method for multi-modal multi-shot person Re-ID. First, we explore the probe-based geometrical structure by enforcing the smoothness between the codings/coefficients, which refers to the multi-shot images from the same person in probe. Second, we explore the gallery-based geometrical structure among gallery images, which encourages the multi-shot images from the same person in the gallery making similar contributions while reconstructing a certain probe image. Third, we explore the cross-modal geometrical structure by enforcing the smoothness between the cross-modal images and thus extend our model for the multi-modal case. Finally, we design an APG based optimization to solve the problem. Comprehensive experiments on benchmark datasets demonstrate the superior performance of the proposed model. The code is available at https://github.com/ttaalle/Lhc .",2020,Pattern Recognit.,,10.1016/j.patcog.2020.107352,
041b96260d58b4604d6509e9e70d69e205062136,1,[D2],,1,0,0,Progressive Multi-stage Feature Mix for Person Re-Identification.,"Image features from a small local region often give strong evidence in person re-identification task. However, CNN suffers from paying too much attention on the most salient local areas, thus ignoring other discriminative clues, e.g., hair, shoes or logos on clothes. %BDB proposes to randomly drop one block in a batch to enlarge the high response areas. Although BDB has achieved remarkable results, there still room for improvement. In this work, we propose a Progressive Multi-stage feature Mix network (PMM), which enables the model to find out the more precise and diverse features in a progressive manner. Specifically, 1. to enforce the model to look for different clues in the image, we adopt a multi-stage classifier and expect that the model is able to focus on a complementary region in each stage. 2. we propose an Attentive feature Hard-Mix (A-Hard-Mix) to replace the salient feature blocks by the negative example in the current batch, whose label is different from the current sample. 3. extensive experiments have been carried out on reID datasets such as the Market-1501, DukeMTMC-reID and CUHK03, showing that the proposed method can boost the re-identification performance significantly.",2020,,2007.08779,,https://arxiv.org/pdf/2007.08779.pdf
056adbf0b00ff13dae94c0a5b02bb7cb180794c0,0,,,1,0,0,Learning Non-Uniform Hypergraph for Multi-Object Tracking,"The majority of Multi-Object Tracking (MOT) algorithms based on the tracking-by-detection scheme do not use higher order dependencies among objects or tracklets, which makes them less effective in handling complex scenarios. In this work, we present a new near-online MOT algorithm based on non-uniform hypergraph, which can model different degrees of dependencies among tracklets in a unified objective. The nodes in the hypergraph correspond to the tracklets and the hyperedges with different degrees encode various kinds of dependencies among them. Specifically, instead of setting the weights of hyperedges with different degrees empirically, they are learned automatically using the structural support vector machine algorithm (SSVM). Several experiments are carried out on various challenging datasets (i.e., PETS09, ParkingLot sequence, SubwayFace, and MOT16 benchmark), to demonstrate that our method achieves favorable performance against the state-of-the-art MOT methods.",2019,AAAI,1812.03621,10.1609/aaai.v33i01.33018981,https://arxiv.org/pdf/1812.03621.pdf
057dfb33380f8cadea486bbc8c26b8331eac2e2b,1,,1,1,0,0,Learning a Neural Solver for Multiple Object Tracking,"Graphs offer a natural way to formulate Multiple Object Tracking (MOT) within the tracking-by-detection paradigm. However, they also introduce a major challenge for learning methods, as defining a model that can operate on such structured domain is not trivial. As a consequence, most learning-based work has been devoted to learning better features for MOT and then using these with well-established optimization frameworks. In this work, we exploit the classical network flow formulation of MOT to define a fully differentiable framework based on Message Passing Networks (MPNs). By operating directly on the graph domain, our method can reason globally over an entire set of detections and predict final solutions. Hence, we show that learning in MOT does not need to be restricted to feature extraction, but it can also be applied to the data association step. We show a significant improvement in both MOTA and IDF1 on three publicly available benchmarks. Our code is available at https://bit.ly/motsolv.",2020,2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),1912.07515,10.1109/cvpr42600.2020.00628,https://arxiv.org/pdf/1912.07515.pdf
05a1269f7d8b0e739edf9b84ca0cc3d1110f923e,0,,,1,0,0,SAFER-LC Report on risk evaluation system and use cases for pilot test,"No part of this document may be copied, reproduced, disclosed or distributed by any means whatsoever, including electronic without the express permission of the International Union of Railways (UIC), Coordinator of the EU SAFER-LC Project. The same applies for translation, adaptation or transformation, arrangement or reproduction by any method or procedure whatsoever. The document reflects only the author’s views and neither INEA nor the Commission is liable of any use that may be made of the information contained therein. The use of the content provided is at the sole risk of the user. Deliverable D3.4",2019,,,,https://pdfs.semanticscholar.org/05a1/269f7d8b0e739edf9b84ca0cc3d1110f923e.pdf
07f4ba45b771ed123b08261d88acda19406a7987,0,,,1,0,0,Real-Time Multiple People Tracking with Deeply Learned Candidate Selection and Person Re-Identification,"Online multi-object tracking is a fundamental problem in time-critical video analysis applications. A major challenge in the popular tracking-by-detection framework is how to associate unreliable detection results with existing tracks. In this paper, we propose to handle unreliable detection by collecting candidates from outputs of both detection and tracking. The intuition behind generating redundant candidates is that detection and tracks can complement each other in different scenarios. Detection results of high confidence prevent tracking drifts in the long term, and predictions of tracks can handle noisy detection caused by occlusion. In order to apply optimal selection from a considerable amount of candidates in real-time, we present a novel scoring function based on a fully convolutional neural network, that shares most computations on the entire image. Moreover, we adopt a deeply learned appearance representation, which is trained on large-scale person re-identification datasets, to improve the identification ability of our tracker. Extensive experiments show that our tracker achieves real-time and state-of-the-art performance on a widely used people tracking benchmark.",2018,2018 IEEE International Conference on Multimedia and Expo (ICME),1809.04427,10.1109/ICME.2018.8486597,https://arxiv.org/pdf/1809.04427.pdf
08b28a8f2699501d46d87956cbaa37255000daa3,1,[D2],,1,1,0,MaskReID: A Mask Based Deep Ranking Neural Network for Person Re-identification,"Person retrieval faces many challenges including cluttered background, appearance variations (e.g., illumination, pose, occlusion) among different camera views and the similarity among different person's images. To address these issues, we put forward a novel mask based deep ranking neural network with a skipped fusing layer. Firstly, to alleviate the problem of cluttered background, masked images with only the foreground regions are incorporated as input in the proposed neural network. Secondly, to reduce the impact of the appearance variations, the multi-layer fusion scheme is developed to obtain more discriminative fine-grained information. Lastly, considering person retrieval is a special image retrieval task, we propose a novel ranking loss to optimize the whole network. The proposed ranking loss can further mitigate the interference problem of similar negative samples when producing ranking results. The extensive experiments validate the superiority of the proposed method compared with the state-of-the-art methods on many benchmark datasets.",2018,ArXiv,1804.03864,,https://arxiv.org/pdf/1804.03864.pdf
0bf90fd8239bbaed46df6c525160e999c7e6c5e7,0,,,1,0,0,Occlusion Handling in Tracking Multiple People Using RNN,"In tracking-by-detection of multiple targets in video sequences, ID-switch is an undesirable error due to long (short) occlusion among targets. In this paper, we propose an occlusion handling method based on Recurrent Neural Network (RNN) to remedy this issue. The method reconstructs missed detection boxes in order to preserve the ID number of targets after occlusion by predicting the detections in next frames. The prediction is accomplished by learning the motion of targets using a novel RNN. Applying this technique on tracking results of several state-of-the-arts shows that their ID-switch error is reduced.",2018,2018 25th IEEE International Conference on Image Processing (ICIP),,10.1109/ICIP.2018.8451140,
