paperId,uses dataset or derivative,dataset(s) / model(s) used,unable to disambiguate,cites D18,cites D19,cites D20(1),cites D20(2),cites D20(3),cites D21,cites D22,cites D23,cites D24,cites D25,cites D26,title,abstract,year,venue,arxivId,doi,pdfUrl
006af49a030aa5b17046cfaf40de8f9246b96adf,0,,,0,1,0,0,0,0,0,0,0,0,0,Super-Resolution on Image and Video,"In this project, we explore image super-resolution using generative adversarial networks. Super-resolution is a problem that has been addressed using signal processing methods, but has only recently been tackled using deep learning, especially generative models. We start with a network inspired by Ledig et al [9], explore changes to the network and test our models on various datasets. We train models for both 2x and 4x upsampling and arrive at results that beat simple interpolations. Our 4x GAN is visually comparable to industry standards in deep learning, although trained on a dataset with comparatively few class labels. We also have preliminary results on super-resolution with video that are promising but computationally expensive.",2017,,,,https://pdfs.semanticscholar.org/006a/f49a030aa5b17046cfaf40de8f9246b96adf.pdf
010575e2ea475cde1b3037ed09a37622261d7abe,0,,,0,1,0,0,0,0,0,0,0,0,0,Identification of Cherry Leaf Disease Infected by Podosphaera Pannosa via Convolutional Neural Network,"The cherry leaves infected by Podosphaera pannosa will suffer powdery mildew, which is a serious disease threatening the cherry production industry. In order to identify the diseased cherry leaves in early stage, the authors formulate the cherry leaf disease infected identification as a classification problem and propose a fully automatic identification method based on convolutional neural network (CNN). The GoogLeNet is used as backbone of the CNN. Then, transferred learning techniques are applied to fine-tune the CNN from pre-trained GoogLeNet on ImageNet dataset. This article compares the proposed method against three traditional machine learning methods i.e., support vector machine (SVM), k-nearest neighbor (KNN) and back propagation (BP) neural network. Quantitative evaluations conducted on a data set of 1,200 images collected by smart phones, demonstrates that the CNN achieves best precise performance in identifying diseased cherry leaves, with the testing accuracy of 99.6%. Thus, a CNN can be used effectively in identifying the diseased cherry leaves.",2019,Int. J. Agric. Environ. Inf. Syst.,,10.4018/IJAEIS.2019040105,
0252256fa23eceb54d9eea50c9fb5c775338d9ea,0,,,1,0,0,1,0,0,0,0,0,0,0,Application-driven Advances in Multi-biometric Fusion,"Biometric recognition is the automated recognition of individuals based on their behavioral or biological characteristics. Beside forensic applications, this technology aims at replacing the outdated and attack prone, physical and knowledge-based, proofs of identity. Choosing one biometric characteristic is a tradeoff between universality, acceptability, and permanence, among other factors. Moreover, the accuracy cap of the chosen characteristic may limit the scalability and usability for some applications. The use of multiple biometric sources within a unified frame, i.e. multi-biometrics, aspires to tackle the limitations of single source biometrics and thus enables a wider implementation of the technology. This work aims at presenting application-driven advances in multi-biometrics by addressing different elements of the multi-biometric system work-flow.  At first, practical oriented pre-fusion issues regarding missing data imputation and score normalization are discussed. This includes presenting a novel performance anchored score normalization technique that aligns certain performance-related score values in the fused biometric sources leading to more accurate multi-biometric decisions when compared to conventional normalization approaches. Missing data imputation within score-level multi-biometric fusion is also addressed by analyzing the behavior of different approaches under different operational scenarios.  Within the multi-biometric fusion process, different information sources can have different degrees of reliability. This is usually influenced in the fusion process by assigning relative weights to the fused sources. This work presents a number of weighting approaches aiming at optimizing the decision made by the multi-biometric system. First, weights that try to capture the overall performance of the biometric source, as well as an indication of its confidence, are proposed and proved to outperform the state-of-the-art weighting approaches. The work also introduces a set of weights derived from the identification performance representation, the cumulative match characteristics. The effect of these weights is analyzed under the verification and identification scenarios.  To further optimize the multi-biometric process, information besides the similarity between two biometric captures can be considered. Previously, the quality measures of biometric captures were successfully integrated, which requires accessing and processing raw captures. In this work, supplementary information that can be reasoned from the comparison scores are in focus. First, the relative relation between different biometric comparisons is discussed and integrated in the fusion process resulting in a large reduction in the error rates. Secondly, the coherence between scores of multi-biometric sources in the same comparison is defined and integrated into the fusion process leading to a reduction in the error rates, especially when processing noisy data.  Large-scale biometric deployments are faced by the huge computational costs of running biometric searches and duplicate enrollment checks. Data indexing can limit the search domain leading to faster searches. Multi-biometrics provides richer information that can enhance the retrieval performance. This work provides an optimizable and configurable multi-biometric data retrieval solution that combines and enhances the robustness of rank-level solutions and the performance of feature-level solutions.  Furthermore, this work presents biometric solutions that complement and utilize multi-biometric fusion. The first solution captures behavioral and physical biometric characteristics to assure a continuous user authentication. Later, the practical use of presentation attack detection is discussed by investigating the more realistic scenario of cross-database evaluation and presenting a state-of-the-art performance comparison. Finally, the use of multi-biometric fusion to create face references from videos is addressed. Face selection, feature-level fusion, and score-level fusion approaches are evaluated under the scenario of face recognition in videos.",2018,,,,https://pdfs.semanticscholar.org/0252/256fa23eceb54d9eea50c9fb5c775338d9ea.pdf
04a58d24ee4f2e41563c744917d21c09fd1a7ada,0,,,1,0,0,0,0,0,0,0,0,0,0,Local appearance modeling for objects class recognition,"In this work, we propose a new formulation of the objects modeling combining geometry and appearance; it is useful for detection and recognition. The object local appearance location is referenced with respect to an invariant which is a geometric landmark. The appearance (shape and texture) is a combination of Harris–Laplace descriptor and local binary pattern (LBP), all being described by the invariant local appearance model (ILAM). We use an improved variant of LBP traits at regions located by Harris–Laplace detector to encode local appearance. We applied the model to describe and learn object appearances (e.g., faces) and to recognize them. Given the extracted visual traits from a test image, ILAM model is carried out to predict the most similar features to the facial appearance: first, by estimating the highest facial probability and then in terms of LBP histogram-based measure, by computing the texture similarity. Finally, by a geometric calculation the invariant allows to locate an appearance in the image. We evaluate the model by testing it on different face images databases. The experiments show that the model results in high accuracy of detection and provides an acceptable tolerance to the appearance variability.",2017,Pattern Analysis and Applications,,10.1007/s10044-017-0639-2,
04c4754d21f01333a113553ca3fff67177929cff,1,[D18],,1,0,0,0,0,0,0,0,0,0,0,Compositional Hierarchical Tensor Factorization: Representing Hierarchical Intrinsic and Extrinsic Causal Factors,"Visual objects are composed of a recursive hierarchy of perceptual wholes and parts, whose properties, such as shape, reflectance, and color, constitute a hierarchy of intrinsic causal factors of object appearance. However, object appearance is the compositional consequence of both an object's intrinsic and extrinsic causal factors, where the extrinsic causal factors are related to illumination, and imaging conditions. Therefore, this paper proposes a unified tensor model of wholes and parts, and introduces a compositional hierarchical tensor factorization that disentangles the hierarchical causal structure of object image formation, and subsumes multilinear block tensor decomposition as a special case. The resulting object representation is an interpretable combinatorial choice of wholes' and parts' representations that renders object recognition robust to occlusion and reduces training data requirements. We demonstrate ourapproach in the context of face recognition by training on an extremely reduced dataset of synthetic images, and report encouragingface verification results on two datasets - the Freiburg dataset, andthe Labeled Face in the Wild (LFW) dataset consisting of real world images, thus, substantiating the suitability of our approach for data starved domains.",2019,ArXiv,1911.0418,,https://arxiv.org/pdf/1911.04180.pdf
05b3d10a85e0380df44abb30ddba9f7da5adf80f,1,[D18],,1,0,0,0,0,0,0,0,0,0,0,Boosted multi-task learning for face verification with applications to web image and video search,"Face verification has many potential applications including filtering and ranking image/video search results on celebrities. Since these images/videos are taken under uncontrolled environments, the problem is very challenging due to dramatic lighting and pose variations, low resolutions, compression artifacts, etc. In addition, the available number of training images for each celebrity may be limited, hence learning individual classifiers for each person may cause overfitting. In this paper, we propose two ideas to meet the above challenges. First, we propose to use individual bins, instead of whole histograms, of Local Binary Patterns (LBP) as features for learning, which yields significant performance improvements and computation reduction in our experiments. Second, we present a novel Multi-Task Learning (MTL) framework, called Boosted MTL, for face verification with limited training data. It jointly learns classifiers for multiple people by sharing a few boosting classifiers in order to avoid overfitting. The effectiveness of Boosted MTL and LBP bin features is verified with a large number of celebrity images/videos from the web.",2009,2009 IEEE Conference on Computer Vision and Pattern Recognition,,10.1109/cvprw.2009.5206736,http://www.ee.cuhk.edu.hk/~xgwang/webface.pdf
06a1c935f8bea60d4f4f8d3fb99cae7f90166cd2,1,[D18],,1,0,0,0,0,0,0,0,0,0,0,Probabilistic Classifier and Its Application to Face Recognition,"This paper proposes a method to classify different subjects from a large set of subjects. Taking correct decision in the process of classification of various subjects from the large set is an arduous task, since its probability is very low. This task is made simple by the proposed Probabilistic Classifier (PC). Maximum Likelihood Estimation (MLE) and Error Minimizing Algorithms (EMA) are the basis for the proposed classifier. Interpreting the EMA output in a probabilistic manner gives rise to PC. Concept of feedback is used in the classification process to enhance the decision rule. Experimental results obtained by applying the proposed classifier on various benchmark facial datasets, show its promising performance. Eventually, PC is found to be independent of the datasets.",2014,FICTA,,10.1007/978-3-319-11933-5_24,
07a1e6d26028b28185b7a3eee86752c240a24261,1,[D18],,1,1,0,0,0,0,0,0,0,0,0,MODE: automated neural network model debugging via state differential analysis and input selection,"Artificial intelligence models are becoming an integral part of modern computing systems. Just like software inevitably has bugs, models have bugs too, leading to poor classification/prediction accuracy. Unlike software bugs, model bugs cannot be easily fixed by directly modifying models. Existing solutions work by providing additional training inputs. However, they have limited effectiveness due to the lack of understanding of model misbehaviors and hence the incapability of selecting proper inputs. Inspired by software debugging, we propose a novel model debugging technique that works by first conducting model state differential analysis to identify the internal features of the model that are responsible for model bugs and then performing training input selection that is similar to program input selection in regression testing. Our evaluation results on 29 different models for 6 different applications show that our technique can fix model bugs effectively and efficiently without introducing new bugs. For simple applications (e.g., digit recognition), MODE improves the test accuracy from 75% to 93% on average whereas the state-of-the-art can only improve to 85% with 11 times more training time. For complex applications and models (e.g., object recognition), MODE is able to improve the accuracy from 75% to over 91% in minutes to a few hours, whereas state-of-the-art fails to fix the bug or even degrades the test accuracy.",2018,ESEC/SIGSOFT FSE,,10.1145/3236024.3236082,https://www.cs.purdue.edu/homes/ma229/papers/FSE18.pdf
089c6224cfbcf5c18b63564eb65001c7c42a7acf,0,,,0,1,0,0,0,0,0,0,0,0,0,Knockoff Nets: Stealing Functionality of Black-Box Models,"Machine Learning (ML) models are increasingly deployed in the wild to perform a wide range of tasks. In this work, we ask to what extent can an adversary steal functionality of such ``victim'' models based solely on blackbox interactions: image in, predictions out. In contrast to prior work, we study complex victim blackbox models, and an adversary lacking knowledge of train/test data used by the model, its internals, and semantics over model outputs. We formulate model functionality stealing as a two-step approach: (i) querying a set of input images to the blackbox model to obtain predictions; and (ii) training a ``knockoff'' with queried image-prediction pairs. We make multiple remarkable observations: (a) querying random images from a different distribution than that of the blackbox training data results in a well-performing knockoff; (b) this is possible even when the knockoff is represented using a different architecture; and (c) our reinforcement learning approach additionally improves query sample efficiency in certain settings and provides performance gains. We validate model functionality stealing on a range of datasets and tasks, as well as show that a reasonable knockoff of an image analysis API could be created for as little as $30.",2019,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),1812.02766,10.1109/CVPR.2019.00509,https://arxiv.org/pdf/1812.02766.pdf
0981a71137c64ec2628714017db5b016571b26f4,1,[D18],,1,0,0,0,0,0,0,0,0,0,0,Common CNN-based Face Embedding Spaces are (Almost) Equivalent,"CNNs are the dominant method for creating face embeddings for recognition. It might be assumed that, since these networks are distinct, complex, nonlinear functions, that their embeddings are network specific, and thus have some degree of anonymity. However, recent research has shown that distinct networks' features can be directly mapped with little performance penalty (median 1.9% reduction across 90 distinct mappings) in the context of the 1,000 object ImageNet recognition task. This finding has revealed that embeddings coming from different systems can be meaningfully compared, provided the mapping. However, prior work only considered networks trained and tested on a closed set classification task. Here, we present evidence that a linear mapping between feature spaces can be easily discovered in the context of open set face recognition. Specifically, we demonstrate that the feature spaces of four face recognition models, of varying architecture and training datasets, can be mapped between with no more than a 1.0% penalty in recognition accuracy on LFW . This finding, which we also replicate on YouTube Faces, demonstrates that embeddings from different systems can be readily compared once the linear mapping is determined. In further analysis, fewer than 500 pairs of corresponding embeddings from two systems are required to calculate the full mapping between embedding spaces, and reducing the dimensionality of the mapping from 512 to 64 produces negligible performance penalty.",2020,ArXiv,,,
